OBJECTID,ntd_id,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,agency_id,download_date,x,y
641627,99423,356,San Fernando at Elk,,34.141457,-118.268942,,,,Null,,,Null,,,,09-09-2024,-118.268942000007,34.1414570002533
382286,90154,5918,Santa Monica / Century Park East,,34.063159,-118.4156,,,5918,,,,Null,,,,09-09-2024,-118.41560000018,34.0631589996472
390407,90154,23200007,Pacific Coast Highway / El Segundo,,33.916097,-118.396111,,,23200007,,,,Null,,,,09-09-2024,-118.396110999785,33.9160970001404
631840,90269;90270;90271;90272;90273;90274;90275;90276;90278,2526030,132nd St & Main St,,33.91273,-118.27305,,,,0,,America/Los_Angeles,0,,,,09-09-2024,-118.273050000293,33.9127299999626
104416,90042,32,El Segundo Bl & Vermont Ave,,33.916307,-118.292229,,,132,,,,2,,,,09-09-2024,-118.292229000168,33.9163070000698
387106,90154,14353,Crescent Heights / Fountain,,34.094136,-118.366045,,,14353,,,,Null,,,,09-09-2024,-118.366044999877,34.0941359998984
384450,90154,9469,Rosecrans / Crenshaw,,33.902056,-118.326261,,,9469,,,,Null,,,,09-09-2024,-118.326261000072,33.9020560002544
168346,90008,971,FLOWER SB & 5TH FS,500 S FLOWER ST & UNNAMED ST,34.050973,-118.25674,,,2450,,,,0,,,,09-09-2024,-118.256740000247,34.0509730002926
390899,90154,80406,Mariachi Plaza / Boyle Heights Station,,34.047215,-118.219648,,,80406,0,80406S,,Null,,,,09-09-2024,-118.21964799982,34.047215000129
390893,90154,80404S,Indiana Station,,34.0343,-118.192182,,,80404S,1,,,Null,,,,09-09-2024,-118.192182000127,34.03429999999
576701,90121,2088,Century Park East & Constallation,,34.060459,-118.413783,,,2088,0,,,0,,,,09-09-2024,-118.413783000313,34.0604589999298
168352,90008,985,BUNDY NB & SANTA MONICA FS,1400 S BUNDY DR & PEARL ST,34.040981,-118.463755,,,2459,,,,0,,,,09-09-2024,-118.463755000367,34.0409810002938
387112,90154,14363,Santa Monica / Avenue Of The Stars,,34.061214,-118.4192,,,14363,,,,Null,,,,09-09-2024,-118.419199999579,34.0612140001603
375794,90147,358010,Vermont Ave & 60th St (Northbound),,33.985667,-118.29142,,,5236,0,,,0,,,,09-09-2024,-118.291419999881,33.9856670003524
380079,90154,2512,Holmes / Gage,,33.981832,-118.241091,,,2512,,,,Null,,,,09-09-2024,-118.241091000349,33.9818319998251
380122,90154,2579,Huntington / Topaz,,34.082919,-118.189041,,,2579,,,,Null,,,,09-09-2024,-118.189041000311,34.0829189998062
376292,90147,433906,Hill St & College St,,34.064694,-118.238597,,,8111,0,,,0,,,,09-09-2024,-118.238597000439,34.0646939999752
382784,90154,6688,Valley / San Pablo,,34.065394,-118.20236,,,6688,,,,Null,,,,09-09-2024,-118.202360000331,34.0653940000805
373581,90146,2818,Union Station Patsaouras Bus Plaza W,,34.053974,-118.233009,,,2818,0,,,0,,,,09-09-2024,-118.233008999672,34.0539740000936
384942,90154,10437,Exposition / Figueroa,,34.01801,-118.282992,,,10437,,,,Null,,,,09-09-2024,-118.282991999597,34.0180100003567
384899,90154,10381,Exposition / Catalina,,34.018488,-118.294256,,,10381,,,,Null,,,,09-09-2024,-118.294256000097,34.0184880002338
383276,90154,7460,Adams / Halldale,,34.03263,-118.302944,,,7460,,,,Null,,,,09-09-2024,-118.302943999774,34.0326300000923
381112,90154,4216,Pacific / Leonis,,34.000293,-118.22509,,,4216,,,,Null,,,,09-09-2024,-118.225090000099,34.0002929996751
384401,90154,9371,Compton / Vernon,,34.00363,-118.247907,,,9371,,,,Null,,,,09-09-2024,-118.247906999907,34.0036300002916
375253,90147,305535,Crenshaw & 48th St.,,33.999762,-118.330916,,,1352,0,,,0,,,,09-09-2024,-118.330915999806,33.9997620000444
378948,90154,621,Centinela / Marina Fwy,,33.985111,-118.413795,,,621,,,,Null,,,,09-09-2024,-118.413795000008,33.9851110001946
103383,90039,533,BRADDOCK DR/SLAUSON AVE,,33.996444,-118.411612,,,503,,,,0,,,,09-09-2024,-118.411612000443,33.9964439999326
167805,90008,4,4TH NB & SANTA MONICA NS,1400 4TH ST & SANTA MONICA BLVD,34.016387,-118.495074,,,1020,,,,0,,,,09-09-2024,-118.495074000078,34.0163870002742
167811,90008,13,4TH SB & SANTA MONICA FS,1300 4TH ST & SANTA MONICA BLVD,34.016244,-118.495051,,,1070,,,,0,,,,09-09-2024,-118.495050999614,34.0162440002426
167854,90008,117,14TH NB & SANTA MONICA FS,1300 14TH ST & SANTA MONICA BLVD,34.024349,-118.485854,,,1012,,,,0,,,,09-09-2024,-118.485854000124,34.024348999894
103377,90039,527,LA CIENEGA BLVD/JEFFERSON BLVD,,34.025977,-118.372254,,,431,,,,0,,,,09-09-2024,-118.372253999712,34.0259769997415
631491,90269;90270;90271;90272;90273;90274;90275;90276;90278,2525669,92nd St & Bandera St,,33.953178,-118.239795,,,,0,,America/Los_Angeles,0,,,,09-09-2024,-118.239794999991,33.953178000031
170659,90010,47,Figueroa St at Harbor Freeway Station,,33.928916,-118.282434,,,662133,,,,2,,,,09-09-2024,-118.282434000279,33.9289159999993
390009,90154,140755,Central / 105th,,33.941117,-118.254273,,,140755,,,,Null,,,,09-09-2024,-118.254273000101,33.9411169999697
632573,90291,2730056,Southern Ave @ Auditorium,,33.947402,-118.183213,,,,0,,America/Los_Angeles,0,,,,09-09-2024,-118.183213000243,33.947401999778
382094,90154,5628,Venice / Abbot Kinney,,33.988796,-118.462338,,,5628,,,,Null,,,,09-09-2024,-118.462337999635,33.9887960002274
103234,90039,230,MESMER AVE/MAJOR ST,,33.984318,-118.399248,,,301,,,,0,,,,09-09-2024,-118.399248000301,33.9843179999836
642068,99424,592,Fair Oaks Ave & California Blvd,,34.136317,-118.150243,,,4957,Null,,,Null,,,,09-09-2024,-118.150243000346,34.1363169999654
381602,90154,4943,Eastern / Washington,,34.000474,-118.15958,,,4943,,,,Null,,,,09-09-2024,-118.159579999577,34.0004739997682
104808,90043,1668504,Astor Ave & Quigley St,,34.00809,-118.166842,,,,0,,,0,,,,09-09-2024,-118.166842000097,34.0080899999011
382684,90154,6497,Telegraph / Arizona,,34.015039,-118.168923,,,6497,,,,Null,,,,09-09-2024,-118.168922999555,34.0150389999792
386422,90154,13127,Arizona / Verona,,34.020509,-118.167713,,,13127,,,,Null,,,,09-09-2024,-118.167713000308,34.0205089999049
380520,90154,3216,Melrose / La Cienega,,34.081832,-118.376678,,,3216,,,,Null,,,,09-09-2024,-118.376678000366,34.081832000357
374861,90147,298868,Fairfax Ave & Melrose (Southbound),,34.083546,-118.361523,,,2335,0,,,0,,,,09-09-2024,-118.361523000213,34.0835460002162
375110,90147,304725,Argyle & Hollywood Blvd,,34.101857,-118.325244,,,2700,0,,,0,,,,09-09-2024,-118.325244000271,34.101856999884
378599,90154,68,Fletcher / Estara,,34.118151,-118.240922,,,68,,,,Null,,,,09-09-2024,-118.240922000295,34.1181510001322
385340,90154,11159,Imperial / Ruchti,,33.930197,-118.170219,,,11159,,,,Null,,,,09-09-2024,-118.170218999914,33.9301969999476
385091,90154,10652,Gage / Heliotrope,,33.977464,-118.180527,,,10652,,,,Null,,,,09-09-2024,-118.180526999814,33.9774640000247
387012,90154,14152,Western / Olympic,,34.052346,-118.309205,,,14152,,,,Null,,,,09-09-2024,-118.309205000386,34.0523460001608
383517,90154,7863,Olympic / Curson,,34.057352,-118.357283,,,7863,,,,Null,,,,09-09-2024,-118.357282999682,34.057352000062
388586,90154,16689,Wilshire / Brockton,,34.046166,-118.465145,,,16689,,,,Null,,,,09-09-2024,-118.465145000437,34.0461659999972
168003,90008,396,WESTWOOD NB & OHIO NS,1500 WESTWOOD BLVD & PRIVATE RD,34.054058,-118.440615,,,2154,,,,0,,,,09-09-2024,-118.440614999621,34.0540579998728
383766,90154,8263,Westwood / Kinross,,34.060919,-118.445552,,,8263,,,,Null,,,,09-09-2024,-118.445552000286,34.0609190002498
384258,90154,9120,Burton / Foothill,,34.072496,-118.39592,,,9120,,,,Null,,,,09-09-2024,-118.39591999999,34.072495999995
378848,90154,429,Beverly / Vermont,,34.076215,-118.291352,,,429,,,,Null,,,,09-09-2024,-118.291352000109,34.0762150002825
383176,90154,7285,3rd / La Brea,,34.068784,-118.343682,,,7285,,,,Null,,,,09-09-2024,-118.343681999631,34.0687840002058
385930,90154,12285,Mission / Baldwin,,34.070323,-118.199238,,,12285,,,,Null,,,,09-09-2024,-118.199237999884,34.0703230002249
377274,90147,6716000,Temple St & Alameda St,,34.050783,-118.237737,,,10416,0,,,0,,,,09-09-2024,-118.237737000099,34.0507829999791
376435,90147,468994,8th St & Grand Ave,,34.045957,-118.25808,,,8933,0,,,0,,,,09-09-2024,-118.258080000088,34.0459570002101
377025,90147,5800813,Union Ave & Pico Blvd (Northbound),,34.044355,-118.277012,,,4008,0,,,0,,,,09-09-2024,-118.277012000091,34.0443549997507
381845,90154,5268,Main / 54th,,33.993481,-118.274091,,,5268,,,,Null,,,,09-09-2024,-118.274091000384,33.9934810000523
386763,90154,13760,Normandie / 60th,,33.986021,-118.300327,,,13760,,,,Null,,,,09-09-2024,-118.300326999841,33.9860210001117
388337,90154,16274,Slauson / Hoover,,33.989288,-118.28686,,,16274,,,,Null,,,,09-09-2024,-118.286859999683,33.9892879997853
379438,90154,1495,Hyde Park / Gay,,33.979067,-118.340447,,,1495,,,,Null,,,,09-09-2024,-118.340447000104,33.9790670000918
375353,90147,305783,Griffin & Altura St.,,34.075606,-118.21174,,,2171,0,,,0,,,,09-09-2024,-118.211740000118,34.0756059997994
375845,90147,377773,Melrose & Bronson (westbound),,34.083552,-118.317776,,,2536,0,,,0,,,,09-09-2024,-118.317775999887,34.083551999863
168495,90008,1370,CENTINELA NB & CULVER NS,S CENTINELA AVE & CULVER BLVD,33.990971,-118.420761,,,2835,,,,0,,,,09-09-2024,-118.420761000252,33.9909710003244
168252,90008,822,PICO WB & 33RD (URBAN AVE) NS,3300 PICO BLVD & URBAN AVE,34.026918,-118.455368,,,1347,,,,0,,,,09-09-2024,-118.455368000091,34.0269179999262
103477,90039,628,SEPULVEDA BLVD/PALMS BLVD,,34.019426,-118.422521,,,661,,,,0,,,,09-09-2024,-118.422521000218,34.0194260002035
382927,90154,6902,Venice / Culver,,34.026592,-118.392815,,,6902,,,,Null,,,,09-09-2024,-118.39281500016,34.0265920001621
375602,90147,355930,54th St & Denker Ave (Eastbound),,33.993195,-118.304743,,,1368,0,,,0,,,,09-09-2024,-118.304743000098,33.9931950000602
374763,90147,1804759,54th & Main St. (CW),,33.993366,-118.273777,,,1530,0,,,0,,,,09-09-2024,-118.273776999666,33.993366000015
379289,90154,1234,Compton / 89th,,33.956023,-118.247209,,,1234,,,,Null,,,,09-09-2024,-118.247208999948,33.9560229996743
605623,90214,5726874,Imperial Hwy. / Sepulveda Blvd.,,33.931125,-118.396541,,,212,0,,,0,,,,09-09-2024,-118.396540999956,33.9311250000559
378748,90154,284,Avalon / Imperial,,33.931223,-118.265313,,,284,,,,Null,,,,09-09-2024,-118.265313000295,33.9312230003413
631050,90268,3878461,Century / Club,,33.945354,-118.332988,,,,0,,America/Los_Angeles,0,,,,09-09-2024,-118.332987999941,33.9453539997684
378699,90154,228,Avalon / 103rd,,33.94349,-118.265309,,,228,,,,Null,,,,09-09-2024,-118.265309000097,33.9434899999329
379240,90154,1117,103rd / Stanford,,33.943269,-118.262987,,,1117,,,,Null,,,,09-09-2024,-118.262986999717,33.9432690002911
631591,90269;90270;90271;90272;90273;90274;90275;90276;90278,2525773,Eastern Ave & Ramona Blvd,,34.059316,-118.172602,,,,0,,America/Los_Angeles,0,,,,09-09-2024,-118.172602000394,34.0593160002165
632132,90286,132726,Monterey Pass (3rd),,34.05202973,-118.1554317,,,132726,0,,,0,,,,09-09-2024,-118.155431699969,34.0520297298513
605574,90214,5726824,Rosecrans Ave. / Pacific Ave.,,33.901775,-118.403696,,,134,0,,,0,,,,09-09-2024,-118.403696000345,33.9017750000449
388978,90154,17297,Rosecrans / Aviation,,33.901989,-118.379231,,,17297,,,,Null,,,,09-09-2024,-118.379230999827,33.9019890003389
379830,90154,2103,Wilcox / Gage,,33.976709,-118.176564,,,2103,,,,Null,,,,09-09-2024,-118.176564000191,33.9767090001944
631640,90269;90270;90271;90272;90273;90274;90275;90276;90278,2525823,Cesar Chavez Ave & Hazard Ave,,34.04046,-118.180013,,,,0,,America/Los_Angeles,0,,,,09-09-2024,-118.180012999978,34.0404599998524
377076,90147,5801521,City Terrace Dr & Rogers St (Westbound) (4210),,34.055863,-118.180025,,,4210,0,,,0,,,,09-09-2024,-118.180024999674,34.0558629996583
103626,90041,10145,Eastern/City Terrace,,34.05778,-118.1721,,,10145,0,,,0,,,,09-09-2024,-118.172100000253,34.0577799997252
168595,90008,1528,SAWTELLE SB & OLYMPIC FS,SAWTELLE BLVD & W OLYMPIC BLVD,34.037933,-118.441043,,,2973,,,,0,,,,09-09-2024,-118.441043000142,34.0379329997314
168103,90008,572,MONTANA EB & AMHERST NS,12300 MONTANA AVE & S AMHERST AVE,34.04813,-118.475501,,,2211,,,,0,,,,09-09-2024,-118.475501000018,34.0481300002893
168644,90008,1588,BRINGHAM NB & GORHAM FS,BRINGHAM AVE & GORHAM AVE,34.056218,-118.463897,,,3044,,,,0,,,,09-09-2024,-118.463896999759,34.0562180002678
632673,90294,S81,Santa Monica/La Peer,,34.083123,-118.386513,,,604,0,,,Null,,,,09-09-2024,-118.386513000438,34.083123000232
387896,90154,15537,Vine / Santa Monica,,34.090951,-118.326777,,,15537,,,,Null,,,,09-09-2024,-118.326776999558,34.0909509997262
385781,90154,12004,Figueroa / Meridian,,34.120293,-118.183931,,,12004,,,,Null,,,,09-09-2024,-118.183931000293,34.1202929998481
387945,90154,15623,3rd / Lucas,,34.058359,-118.261388,,,15623,,,,Null,,,,09-09-2024,-118.261388000308,34.0583589998868
389519,90154,19023,Broadway / Pico,,34.037328,-118.260807,,,19023,,,,Null,,,,09-09-2024,-118.260806999626,34.0373280000289
390109,90154,140997,La Brea / Pickford,,34.042657,-118.346793,,,140997,,,,Null,,,,09-09-2024,-118.346793000207,34.0426569998583
375453,90147,306017,Western & 7th St. (CW),,34.059528,-118.30901,,,2862,0,,,0,,,,09-09-2024,-118.309010000392,34.0595279997474
386814,90154,13830,Robertson / Airdrome,,34.049046,-118.385546,,,13830,,,,Null,,,,09-09-2024,-118.385545999967,34.0490459998558
388486,90154,16467,Washington / Orange,,34.040985,-118.349958,,,16467,,,,Null,,,,09-09-2024,-118.349958000312,34.0409849998348
375502,90147,306073,Western & 6th St. (CCW),,34.063712,-118.30915,,,2814,0,,,0,,,,09-09-2024,-118.309150000135,34.0637120001809
377125,90147,5802509,Beverly Blvd & Bonnie Brae St (Westbound),,34.065557,-118.267758,,,4071,0,,,0,,,,09-09-2024,-118.267757999801,34.065556999966
381404,90154,4662,Alvarado / Maryland,,34.061057,-118.273725,,,4662,,,,Null,,,,09-09-2024,-118.273724999787,34.061056999859
383617,90154,8024,Sunset / Marion,,34.068285,-118.250364,,,8024,,,,Null,,,,09-09-2024,-118.250364000007,34.0682849999039
380371,90154,2982,Lincoln Park / Broadway,,34.074223,-118.202573,,,2982,,,,Null,,,,09-09-2024,-118.202572999868,34.0742229997227
385732,90154,11909,Broadway / Ord,,34.06052,-118.239379,,,11909,,,,Null,,,,09-09-2024,-118.239379000064,34.0605200002938
